Sample,Pop,Groups,Sites
KP0049_HU_SB10,SB10,96,22212.0
KP0073_HU_SB10,SB10,83,17862.0
KX0075_HU_SB10,SB10,32,24567.0
KP0084_AC_SB10,SB10,26,24212.0
KP0090_AC_SB10,SB10,92,23495.0
KP0091_AC_SB10,SB10,23,23158.0
KP0639_LM_SB20,SB20,63,24890.0
KP0093_AC_SB10,SB10,33,22855.0
KP0111_AC_SB10,SB10,64,25133.0
KP0099_AC_SB10,SB10,66,23376.0
KP0130_AC_SB05,SB05,25,24254.0
KP0132_HU_SB05,SB05,19,21949.0
KP0134_HU_SB05,SB05,67,22562.0
KP0135_HU_SB05,SB05,21,24561.0
KP0138_HU_SB05,SB05,29,23448.0
KP0140_HU_SB05,SB05,1,24561.0
KP0142_HU_SB05,SB05,20,24720.0
KP0143_HU_SB05,SB05,114,23735.0
KP0145_HU_SB05,SB05,27,24601.0
KP0146_HU_SB05,SB05,24,23469.0
KP0147_HU_SB05,SB05,2,24654.0
KP0149_HU_SB05,SB05,28,23933.0
KP0184_AC_SQ12,SQ12,65,24790.0
KP0211_AC_SQ12,SQ12,72,23348.0
KP0378_AC_WP20,WP20,69,18393.0
KP0410_HU_CA05,CA05,86,24128.0
KP0413_HU_CA05,CA05,75,21321.0
KP0414_HU_CA05,CA05,59,23034.0
KP1005_HU_CA10,CA10,55,25199.0
KP0417_HU_CA05,CA05,38,23945.0
KP0438_HU_CA05,CA05,51,25218.0
KP0423_HU_CA05,CA05,49,21895.0
KP0426_HU_CA05,CA05,58,23707.0
KP0427_HU_CA05,CA05,53,22781.0
KP0429_HU_CA05,CA05,52,23818.0
KP0432_HU_CA05,CA05,84,23767.0
KP0434_HU_CA05,CA05,76,22266.0
KP0435_HU_CA05,CA05,56,25033.0
KP0436_HU_CA05,CA05,99,21607.0
KP0437_HU_CA05,CA05,100,21749.0
KP0439_HU_CA05,CA05,50,24742.0
KP0474_AC_WP20,WP20,39,24391.0
KP0540_AC_WP20,WP20,80,24881.0
KP1039_HU_CA10,CA10,61,25176.0
KP0582_AC_WP20,WP20,82,25070.0
KP0739_HU_WP10,WP10,68,24924.0
KP0744_HU_WP10,WP10,108,24360.0
KP0764_HU_WP10,WP10,41,24738.0
KP0768_HU_WP10,WP10,105,23134.0
KP0954_HU_WP05,WP05,107,23627.0
KP0774_AC_WP10,WP10,12,20424.0
KP0775_AC_WP10,WP10,17,22286.0
KP0783_HU_WP10,WP10,3,23772.0
KP0785_AC_WP10,WP10,91,24275.0
KP0786_HU_WP10,WP10,97,24530.0
KP0814_HU_WP10,WP10,35,22825.0
KP0803_HU_WP10,WP10,79,24463.0
KP0805_HU_WP10,WP10,85,22322.0
KP0818_HU_WP10,WP10,11,24640.0
KP0826_AC_WP10,WP10,111,23845.0
KP0827_AC_WP10,WP10,30,24345.0
KP0829_AC_WP10,WP10,40,21900.0
KP0831_HU_WP10,WP10,81,24317.0
KP0838_AC_WP10,WP10,46,20398.0
KP0839_HU_WP10,WP10,90,24142.0
KP0841_AC_WP10,WP10,94,20014.0
KP0845_AC_WP10,WP10,70,23247.0
KP0847_HU_WP10,WP10,48,25042.0
KP0850_AC_WP10,WP10,31,24108.0
KP0853_HU_WP10,WP10,93,23983.0
KP0859_HU_WP10,WP10,44,22474.0
KP0875_AC_WP10,WP10,87,24938.0
KP0876_HU_WP10,WP10,36,24438.0
KP0877_HU_WP10,WP10,37,24461.0
KP0886_AC_WP10,WP10,7,23853.0
KP0888_AC_WP10,WP10,101,23283.0
KP0899_LM_WP10,WP10,95,24959.0
KP0901_HU_WP10,WP10,112,23632.0
KP0903_HU_WP10,WP10,102,24848.0
KP0906_AC_WP10,WP10,8,23566.0
KP0920_HU_WP10,WP10,42,24693.0
KP0922_AC_WP10,WP10,43,23000.0
KP0935_AC_WP10,WP10,71,24670.0
KP0941_HU_WP10,WP10,47,24915.0
KP0948_AC_WP10,WP10,88,24596.0
KP0951_HU_WP10,WP10,14,24669.0
KP0956_HU_WP05,WP05,110,24549.0
KP0957_HU_WP05,WP05,109,24356.0
KP0958_HU_WP05,WP05,106,22979.0
KP0959_HU_WP05,WP05,5,22826.0
KP0960_HU_WP05,WP05,4,24294.0
KP0961_HU_WP05,WP05,103,21615.0
KP0963_HU_WP05,WP05,45,23291.0
KP0964_HU_WP05,WP05,104,24633.0
KP0968_HU_WP05,WP05,78,24825.0
KP0970_HU_WP05,WP05,73,22581.0
KP0971_HU_WP05,WP05,98,23797.0
KP0972_HU_WP05,WP05,15,21527.0
KP0973_HU_WP05,WP05,16,22542.0
KP0979_HU_WP05,WP05,9,24824.0
KP0980_HU_WP05,WP05,22,24741.0
KP0984_HU_WP05,WP05,115,24262.0
KP0985_AC_WP05,WP05,10,24582.0
KP0986_HU_WP05,WP05,18,24618.0
KP0987_HU_WP05,WP05,13,22932.0
KP0989_HU_WP05,WP05,6,24698.0
KP1033_HU_CA10,CA10,57,25113.0
KP1036_UN_CA10,CA10,54,25065.0
KP1037_HU_CA10,CA10,89,24959.0
KP1041_HU_CA10,CA10,113,25013.0
KP1084_AC_CA20,CA20,34,25063.0
KP1116_AC_CA20,CA20,62,25105.0
KP1153_UN_CA20,CA20,60,24934.0
KP1159_UN_CA20,CA20,74,24339.0
KP1162_AC_CA20,CA20,77,21671.0
