,Individual,Site,Loc,Depth,PC1,PC2
KP0086_LM_SB10,KP0086_LM_SB10,SB10,SB,10-12,1.57011707361433,-0.204922066495647
KP0096_AC_SB10,KP0096_AC_SB10,SB10,SB,10-12,-3.05297760847257,0.635959756223459
KP0108_AC_SB10,KP0108_AC_SB10,SB10,SB,10-12,1.31606139174734,1.63338134542725
KP0186_AC_SQ12,KP0186_AC_SQ12,SQ12,SQ,10-12,1.81640843892151,0.910533023776955
KP0192_AC_SQ12,KP0192_AC_SQ12,SQ12,SQ,10-12,1.58021200647487,-0.30064491161254
KP0203_AC_SQ12,KP0203_AC_SQ12,SQ12,SQ,10-12,1.71281429758263,-0.615448044435302
KP0207_LM_SQ12,KP0207_LM_SQ12,SQ12,SQ,10-12,1.2943588611305,0.285794674561497
KP0249_LM_SQ20,KP0249_LM_SQ20,SQ20,SQ,20,1.56551517082475,-0.0134793007460571
KP0252_LM_SQ20,KP0252_LM_SQ20,SQ20,SQ,20,1.72549143808118,0.798692868534635
KP0254_LM_SQ20,KP0254_LM_SQ20,SQ20,SQ,20,-3.1972903776416,0.913487831210775
KP0282_LM_SQ20,KP0282_LM_SQ20,SQ20,SQ,20,1.51045817255288,-0.146535819319125
KP0285_LM_SQ20,KP0285_LM_SQ20,SQ20,SQ,20,-3.27464220346863,0.454795161132728
KP0290_LM_WP20,KP0290_LM_WP20,WP20,WP,20,2.24422090146099,1.03694606541086
KP0293_LM_WP20,KP0293_LM_WP20,WP20,WP,20,1.4497916126535,-0.806150653323008
KP0308_LM_WP20,KP0308_LM_WP20,WP20,WP,20,1.85483448220161,-0.146987658346014
KP0319_LM_WP20,KP0319_LM_WP20,WP20,WP,20,1.926825340962,-1.57444408933151
KP0322_LM_WP20,KP0322_LM_WP20,WP20,WP,20,-3.10198464614218,-0.590898860334358
KP0328_LM_WP20,KP0328_LM_WP20,WP20,WP,20,-3.21855010649032,0.343646612027336
KP0341_LM_WP20,KP0341_LM_WP20,WP20,WP,20,1.2015984607801,0.95557633545505
KP0348_LM_WP20,KP0348_LM_WP20,WP20,WP,20,1.4951389670722,-0.837987103746388
KP0350_LM_WP20,KP0350_LM_WP20,WP20,WP,20,2.00424900965194,-1.4828075724458
KP0375_LM_WP20,KP0375_LM_WP20,WP20,WP,20,1.18634061869408,1.11444406105703
KP0377_LM_WP20,KP0377_LM_WP20,WP20,WP,20,-3.07020418653541,-0.0911721676696826
KP0380_LM_WP20,KP0380_LM_WP20,WP20,WP,20,1.85921560906069,-1.46082806000012
KP0400_LM_WP20,KP0400_LM_WP20,WP20,WP,20,-3.13738159247212,0.225451239928115
KP0459_LM_WP20,KP0459_LM_WP20,WP20,WP,20,1.30204596623814,-0.431090670737388
KP0473_LM_WP20,KP0473_LM_WP20,WP20,WP,20,-3.51172797916895,-0.488510228136912
KP0482_LM_WP20,KP0482_LM_WP20,WP20,WP,20,1.87082354661479,-0.593580157357484
KP0547_LM_WP20,KP0547_LM_WP20,WP20,WP,20,-3.7484107445001,0.399259889233908
KP0548_LM_WP20,KP0548_LM_WP20,WP20,WP,20,-3.54487199485182,-0.841579796370532
KP0551_LM_WP20,KP0551_LM_WP20,WP20,WP,20,1.80975636043129,0.450073440795261
KP0558_LM_WP20,KP0558_LM_WP20,WP20,WP,20,1.90646793183307,-0.05272868927026
KP0570_LM_WP20,KP0570_LM_WP20,WP20,WP,20,1.55596975298998,-1.90810995510839
KP0585_LM_WP20,KP0585_LM_WP20,WP20,WP,20,1.28618669949173,-0.510429929656466
KP0588_LM_WP20,KP0588_LM_WP20,WP20,WP,20,-3.55723671703722,0.131504345108926
KP0599_LM_SB20,KP0599_LM_SB20,SB20,SB,20,1.93692792774532,0.299715175705305
KP0605_AC_SB20,KP0605_AC_SB20,SB20,SB,20,1.00926167190632,0.416044676222274
KP0609_AC_SB20,KP0609_AC_SB20,SB20,SB,20,2.1048138543721,0.290187747998647
KP0613_LM_SB20,KP0613_LM_SB20,SB20,SB,20,1.18839109173846,-0.994222195490576
KP0614_LM_SB20,KP0614_LM_SB20,SB20,SB,20,1.73491514465669,-0.554004013281641
KP0616_LM_SB20,KP0616_LM_SB20,SB20,SB,20,1.62321748232141,-1.53184133204246
KP0617_LM_SB20,KP0617_LM_SB20,SB20,SB,20,1.65209269043513,1.06591761061535
KP0618_LM_SB20,KP0618_LM_SB20,SB20,SB,20,-3.29229799239941,1.24616441772891
KP0620_LM_SB20,KP0620_LM_SB20,SB20,SB,20,1.55254010442093,0.672904472127001
KP0629_LM_SB20,KP0629_LM_SB20,SB20,SB,20,2.02752349705903,-0.885546306015166
KP0631_LM_SB20,KP0631_LM_SB20,SB20,SB,20,1.51752257650518,2.38865042181845
KP0634_LM_SB20,KP0634_LM_SB20,SB20,SB,20,2.29842633174703,0.366351442015996
KP0650_LM_SB20,KP0650_LM_SB20,SB20,SB,20,1.69154788848921,-0.146828927198688
KP0657_LM_SB20,KP0657_LM_SB20,SB20,SB,20,2.23031359911059,-1.00256676894577
KP0664_LM_SB20,KP0664_LM_SB20,SB20,SB,20,-4.10444479118722,-0.438022053934167
KP0666_LM_SB20,KP0666_LM_SB20,SB20,SB,20,-3.54402858827033,-1.03982105674907
KP0670_LM_SB20,KP0670_LM_SB20,SB20,SB,20,-1.2409897594386,0.410915186737591
KP0671_AC_SB20,KP0671_AC_SB20,SB20,SB,20,1.69486602574612,-0.74518299659494
KP0676_LM_SB20,KP0676_LM_SB20,SB20,SB,20,-3.56598779158193,-0.565400374048101
KP0677_LM_SB20,KP0677_LM_SB20,SB20,SB,20,1.62722028363539,0.73048441399974
KP0680_LM_SB20,KP0680_LM_SB20,SB20,SB,20,1.79077751671761,0.0855422915120823
KP0682_LM_SB20,KP0682_LM_SB20,SB20,SB,20,1.22399312835942,1.64708127862022
KP0694_LM_SB20,KP0694_LM_SB20,SB20,SB,20,1.30477776357655,-1.35394933658395
KP0706_LM_SB20,KP0706_LM_SB20,SB20,SB,20,1.52461798352303,0.469273915880355
KP0707_LM_SB20,KP0707_LM_SB20,SB20,SB,20,1.94483855624345,-1.30551409016253
KP0716_LM_SB20,KP0716_LM_SB20,SB20,SB,20,-3.92764659514379,-0.71537029958015
KP0718_LM_SB20,KP0718_LM_SB20,SB20,SB,20,1.87195778932867,0.208598268292664
KP0723_NA_NANA,KP0723_NA_NANA,SB20,SB,20,1.48710038485678,0.436558904668299
KP0731_LM_SB20,KP0731_LM_SB20,SB20,SB,20,-3.95283341055172,-0.467366560607058
KP0732_LM_SB20,KP0732_LM_SB20,SB20,SB,20,1.79310961423648,0.722266931901554
KP0765_AC_WP10,KP0765_AC_WP10,WP10,WP,10-12,1.38967838877326,0.227343457965097
KP0795_LM_WP10,KP0795_LM_WP10,WP10,WP,10-12,1.91827962843733,0.988674848690759
KP0851_AC_WP10,KP0851_AC_WP10,WP10,WP,10-12,-3.95146328262186,1.0609356054026
KP0870_LM_WP10,KP0870_LM_WP10,WP10,WP,10-12,-2.77181658837309,-0.127319689705102
KP0893_LM_WP10,KP0893_LM_WP10,WP10,WP,10-12,1.81237114587091,0.291631775418727
KP1043_LM_CA10,KP1043_LM_CA10,CA10,CA,10-12,-3.28769417103157,-0.376178478475446
KP1061_LM_CA20,KP1061_LM_CA20,CA20,CA,20,1.78589587318965,0.0702329305993974
KP1064_LM_CA20,KP1064_LM_CA20,CA20,CA,20,-3.98483100032687,0.257300187444351
KP1065_LM_CA20,KP1065_LM_CA20,CA20,CA,20,-3.86604979589537,0.471790146756431
KP1093_LM_CA20,KP1093_LM_CA20,CA20,CA,20,-3.40545583524237,0.348068486374727
KP1094_LM_CA20,KP1094_LM_CA20,CA20,CA,20,-3.17297999131426,-0.00882150513111949
KP1095_HU_CA20,KP1095_HU_CA20,CA20,CA,20,1.9395895521238,1.50859199897284
KP1101_LM_CA20,KP1101_LM_CA20,CA20,CA,20,-3.72824816035767,-1.14564167848752
KP1103_LM_CA20,KP1103_LM_CA20,CA20,CA,20,1.71841117998682,-0.995147443414345
KP1118_LM_CA20,KP1118_LM_CA20,CA20,CA,20,1.10118370898634,-0.621741555311955
KP1119_LM_CA20,KP1119_LM_CA20,CA20,CA,20,1.69400091061636,-0.511604996226669
KP1123_LM_CA20,KP1123_LM_CA20,CA20,CA,20,-4.18788712340177,1.08498512321544
KP1124_AC_CA20,KP1124_AC_CA20,CA20,CA,20,1.83786167913352,0.905692866401838
KP1126_LM_CA20,KP1126_LM_CA20,CA20,CA,20,-3.33174641107359,-0.275377057912269
KP1133_LM_CA20,KP1133_LM_CA20,CA20,CA,20,1.98898560609495,0.997660132166416
KP1144_LM_CA20,KP1144_LM_CA20,CA20,CA,20,1.30128404856386,0.437067072999469
KP1160_UN_CA20,KP1160_UN_CA20,CA20,CA,20,1.61317404395301,0.993092688931078
KP1164_LM_CA20,KP1164_LM_CA20,CA20,CA,20,1.44168216181364,-0.531782890258454
KP1166_LM_CA20,KP1166_LM_CA20,CA20,CA,20,1.78195151455901,-1.43344900040376
KP1167_LM_CA20,KP1167_LM_CA20,CA20,CA,20,-3.62851866377805,-0.692972585495797
KX0330_LM_WP20,KX0330_LM_WP20,WP20,WP,20,-3.55366036663872,-0.156383642820043
KY0578_AC_WP20,KY0578_AC_WP20,WP20,WP,20,1.71385401550977,0.331121442252294
