,x,y,z,p
KP0990_AC_CA10,-2.0393570396031793,-14.14498874692193,-2.3334450287714916,1.0
KP0992_AC_CA10,-2.1924374225417385,-14.269144557550202,-2.4074480086115493,1.0
KP0994_AC_CA10,-2.157132537363712,-14.44702677657419,-2.290123028043406,1.0
KP0996_AC_CA10,-2.2936671238927615,-14.278957058966252,-2.3355337784121657,1.0
KP0998_AC_CA10,-2.4041352976811825,-14.484114048021533,-2.305606284735054,1.0
KP1000_AC_CA10,-2.486616941722212,-14.521506613893706,-2.4224866549232402,1.0
KP1002_AC_CA10,-1.3773898893402585,-9.108449859408804,-2.218680356281083,1.0
KP1004_AC_CA10,-1.3415613161374198,-5.376837226913804,-2.2621590581807,1.0
KP1006_AC_CA10,-1.4723898339078807,-5.50812497284128,-2.2087436200093475,1.0
KP1008_AC_CA10,-1.5533847808994479,-5.336683246715666,-2.3301102420697704,1.0
KP1010_AC_CA10,-1.5083237322956005,-5.665418124354459,-2.1522897894614896,1.0
KP1012_AC_CA10,-1.6340104887456017,-5.667849703804719,-2.262214961710759,1.0
KP1014_AC_CA10,-1.5326442106854268,-5.744113302504947,-2.2849995723521435,1.0
KP1016_AC_CA10,-1.583949936048075,-5.826639589530245,-2.336577525487908,1.0
KP1018_AC_CA10,-1.589063956346908,-5.906184276724173,-2.4312515820735485,1.0
KP1020_AC_CA10,-1.6141520766040345,-5.855405400411242,-2.5678468706768887,1.0
KP1022_AC_CA10,-1.8263412193230968,-6.158411823194184,-2.61346127965377,1.0
KP1024_AC_CA10,-1.366847912735158,-7.058584253659862,-2.481013798130722,1.0
KP1026_AC_CA10,-0.5372619413772541,2.957830989734331,-2.3495407146565506,1.0
KP1028_AC_CA10,-0.674738061276512,2.898027059223753,-2.493262861837639,1.0
KP1030_AC_CA10,-0.45261152871440025,2.529045310239467,-2.490123376771444,1.0
KP1032_AC_CA10,-0.9523133286244395,-0.1373721281339815,-2.46760673896935,1.0
KP1034_AC_CA10,-0.920527122250566,-0.9279861525572038,-1.9531949286057655,1.0
KP1036_AC_CA10,-1.0302412385375284,-0.9453417137681951,-1.9877564507323409,1.0
KP1038_LM_CA10,-0.507253623839015,-0.2357324926837655,-2.5487844765796517,1.0
KP1040_AC_CA10,0.22849536642469195,7.511162938889578,-2.5071742867225937,1.0
KP1042_AC_CA10,0.10205373306649604,5.832495948262259,-2.244834847529313,1.0
KP1044_AC_CA10,-0.22037709316684745,5.762686196818173,-2.194083345753567,1.0
KP1046_AC_CA10,-0.6795618354849735,4.9340553870806145,-2.3346221221461914,1.0
KP1048_AC_CA10,-0.2278984727975626,4.387201644292243,-2.4752286252969857,1.0
KP1050_AC_CA10,-0.3539449839830923,3.9736428280473604,-2.5413158980117014,1.0
KP1052_AC_CA10,-0.5087580521195956,3.4229862424664375,-2.4339548853446025,1.0
KP1054_AC_CA10,-0.7686173461885243,3.92573515020612,-2.461113442354467,1.0
KP0991_AC_CA10,-1.4224825616891472,-13.12352637837487,-2.6222481522009855,1.0
KP0993_AC_CA10,-1.270701339063357,-14.873474769267332,-2.7106849108554827,1.0
KP0995_AC_CA10_X,-1.360558547272897,-15.048824374041816,-2.6270342041730745,1.0
KP0997_AC_CA10,-0.42477217021366837,-8.02076241235957,-2.485506646201017,1.0
KP0999_AC_CA10,-0.008751728650975931,-8.834474920275914,-2.5242167867748107,1.0
KP1001_AC_CA10,-0.3827371073730511,-9.052223144078292,-2.5269642530952874,1.0
KP1003_AC_CA10,-0.5126356403690566,-8.972170620555314,-2.20233811759949,1.0
KP1005_AC_CA10,-0.4965403727010731,-9.050178514843026,-2.2073876082722927,1.0
KP1007_AC_CA10,-0.1617681037912788,-9.939862026739226,-2.362438969911108,1.0
KP1009_AC_CA10_X,-0.1454940985346008,-10.085678852377304,-2.197407786168229,1.0
KP1011_AC_CA10,-0.7633564512590846,-11.469322695384065,-2.367495287346773,1.0
KP1013_AC_CA10,-0.9842957782069599,-11.658460385324727,-2.43105928868731,1.0
KP1015_AC_CA10,-1.1502352967594975,-11.774882736138713,-2.438554984296261,1.0
KP1017_AC_CA10,-1.4990393467403393,-11.976006735917322,-2.3943715905883143,1.0
KP1019_AC_CA10,0.5306826910305846,-4.627563686136639,-2.628456224175829,1.0
KP1021_AC_CA10,-0.8824800340722466,-7.593245053496681,-2.3313155578196945,1.0
KP1023_AC_CA10,0.4700628089655225,2.110869420865759,-2.579957235655534,1.0
KP1025_AC_CA10,1.159608929867354,0.389073954864998,-2.619037559476263,1.0
KP1027_AC_CA10,1.1164815500070389,0.2254290256250085,-2.4234072777463638,1.0
KP1029_AC_CA10,0.10725391014378628,0.07098503087535198,-2.5674312524892193,1.0
KP1031_AC_CA10,0.17790495989798244,-0.07850521235317058,-2.3798999729303936,1.0
KP1033_AC_CA10,0.1042159697871551,-1.3650308738553856,-2.395768914178292,1.0
KP1035_AC_CA10,-0.030502793390758953,-2.024302019631951,-2.261263046595722,1.0
KP1037_AC_CA10,-0.2777425074070885,-2.4979572620708814,-2.0004991114574326,1.0
KP1039_AC_CA10_X,-0.260249885185732,-2.5740184748759685,-1.8519974849524585,1.0
KP1041_AC_CA10,-0.2575315726056925,-2.602405449493573,-1.756074584321042,1.0
KP1043_LM_CA10,0.9210075684433736,7.130342689124897,-2.6754016136284933,1.0
KP1045_AC_CA10,0.39580765431891,5.716647113791241,-2.5377353706914922,1.0
KP1047_AC_CA10_X,0.13323442134568833,5.617789464950837,-2.3629313993965857,1.0
KP1049_AC_CA10,0.24112681363826802,5.545295643994656,-2.238789372545215,1.0
KP1051_AC_CA10_X,0.35004678486818147,5.412088130224831,-2.5650837129125605,1.0
KP1053_AC_CA10,1.0328784760684353,4.308388704204037,-2.424542115012114,1.0
KP1055_AC_CA10,0.8233620884184255,4.0833634273423876,-2.4546250395344833,1.0
KP1057_AC_CA10,0.34771811293053334,4.142205100620961,-2.5402138313456732,1.0
