,het,het_frac,num_loci
KP0049_HU_SB10,11,0.0166414523449319,661
KP0093_AC_SB10,162,0.220108695652174,736
KP0099_AC_SB10,18,0.0242587601078167,742
KP0111_AC_SB10,19,0.0237797246558198,799
KP0134_HU_SB05,15,0.020746887966805,723
KP0184_AC_SQ12,18,0.0228716645489199,787
KP0211_AC_SQ12,20,0.027027027027027,740
KP0378_AC_WP20,15,0.0252525252525253,594
KP0410_HU_CA05,14,0.0184210526315789,760
KP0413_HU_CA05,149,0.223388305847076,667
KP0414_HU_CA05,177,0.242134062927497,731
KP0417_HU_CA05,15,0.0197628458498024,759
KP0418_HU_CA05,132,0.167300380228137,789
KP0420_HU_CA05,23,0.0304232804232804,756
KP0423_HU_CA05,165,0.240174672489083,687
KP0427_HU_CA05,20,0.0277008310249307,722
KP0429_HU_CA05,18,0.0239043824701195,753
KP0434_HU_CA05,25,0.0356633380884451,701
KP0435_HU_CA05,23,0.028894472361809,796
KP0438_HU_CA05,18,0.0225,800
KP0439_HU_CA05,37,0.0471938775510204,784
KP0474_AC_WP20,14,0.0181582360570687,771
KP0540_AC_WP20,16,0.0203303684879288,787
KP0552_AC_WP20,16,0.0202275600505689,791
KP0582_AC_WP20,194,0.245880861850444,789
KP0639_LM_SB20,19,0.0240202275600506,791
KP0739_HU_WP10,24,0.0302648171500631,793
KP0764_HU_WP10,74,0.0942675159235669,785
KP0789_HU_WP10,37,0.0570107858243451,649
KP0803_HU_WP10,191,0.245817245817246,777
KP0805_HU_WP10,15,0.0211864406779661,708
KP0814_HU_WP10,12,0.0161943319838057,741
KP0829_AC_WP10,12,0.0172413793103448,696
KP0831_HU_WP10,24,0.0313725490196078,765
KP0838_AC_WP10,16,0.024024024024024,666
KP0841_AC_WP10,35,0.0532724505327245,657
KP0845_AC_WP10,167,0.227210884353742,735
KP0847_HU_WP10,27,0.0342205323193916,789
KP0859_HU_WP10,22,0.0308555399719495,713
KP0875_AC_WP10,164,0.208386277001271,787
KP0876_HU_WP10,20,0.0258064516129032,775
KP0877_HU_WP10,33,0.0423076923076923,780
KP0920_HU_WP10,21,0.0266497461928934,788
KP0922_AC_WP10,41,0.0557065217391304,736
KP0935_AC_WP10,216,0.274809160305344,786
KP0941_HU_WP10,23,0.0292249047013977,787
KP0948_AC_WP10,15,0.0190839694656489,786
KP0963_HU_WP05,132,0.179591836734694,735
KP0968_HU_WP05,96,0.122605363984674,783
KP0970_HU_WP05,144,0.202816901408451,710
KP1005_HU_CA10,19,0.0237797246558198,799
KP1033_HU_CA10,150,0.188679245283019,795
KP1036_UN_CA10,16,0.020125786163522,795
KP1039_HU_CA10,84,0.105660377358491,795
KP1074_AC_CA20,17,0.0222804718217562,763
KP1084_AC_CA20,18,0.0226986128625473,793
KP1116_AC_CA20,15,0.0188916876574307,794
KP1153_UN_CA20,69,0.0872313527180784,791
KP1159_UN_CA20,18,0.0233160621761658,772
KP1162_AC_CA20,105,0.155325443786982,676
KX0075_HU_SB10,16,0.020671834625323,774
