,taxa.geodist$Individual,PC1xy,PC2xy,x,y,z
157,KP0254_LM_SQ20,-26270.0738138107,-2.83944861612767,42905.4034369024,-45.616139247827,-20.4021244962984
183,KP0285_LM_SQ20,-26270.0501436173,-3.47853404442787,42905.3798136155,-46.2552264117102,-20.7049069175886
381,KP0322_LM_WP20,16630.0089464808,-1.6089782549409,5.32070185066748,-47.53437579629,-20.6180416194037
387,KP0328_LM_WP20,16626.1375803855,0.321206564214756,9.19192626705829,-45.6039068384255,-19.3437003021357
436,KP0377_LM_WP20,16627.0719155231,-2.11888315256913,8.25777022558156,-48.0440651253695,-20.2062418636157
459,KP0400_LM_WP20,16621.8528268083,-0.103346512221119,13.4767109933829,-46.0281454287026,-20.4812044328287
488,KP0473_LM_WP20,16622.4093801005,-1.08393573625702,12.9202296742566,-47.008775499044,-20.283652645636
559,KP0547_LM_WP20,16619.102893902,-1.37509387335508,16.2267372338314,-47.2996909515386,-20.042932285142
560,KP0548_LM_WP20,16619.2362593035,-0.978647809308187,16.0933427349562,-46.9032546770852,-20.2924487859489
600,KP0588_LM_WP20,16611.9788708921,-0.284393137153177,23.3506801711493,-46.2084673414172,-19.6672695006634
6,KP0618_LM_SB20,-14874.9619575549,-0.465717864730931,31510.2914371164,-44.0787674348274,-20.790713184035
52,KP0664_LM_SB20,-14879.7108689163,-0.272314573331371,31515.0403342699,-43.8850155914743,-20.9671110318594
54,KP0666_LM_SB20,-14879.3623843219,-0.238907422639311,31514.6918472245,-43.8516340183485,-20.8772910956424
63,KP0676_LM_SB20,-14887.5984718197,1.88916266495033,31522.9277785076,-41.7229594382261,-19.4212487978204
115,KP0731_LM_SB20,-14894.3456005434,1.22452470169236,31529.6749559951,-42.3871021854788,-19.8884441058081
696,KP1043_LM_CA10,-1214.87135964482,15.0300593779327,17850.1997386673,-29.5855902019983,-9.69441681710364
708,KP1065_LM_CA20,-1198.36273034574,-1.57910878535691,17833.692328464,-46.1959699926911,-18.697740673915
719,KP1094_LM_CA20,-1200.12132831102,-1.40705047118356,17835.4509137961,-46.0237826044153,-18.6633856234892
745,KP1101_LM_CA20,-1202.7969069909,-0.505574682797475,17838.1264263038,-45.1221104409092,-19.6215114851097
755,KP1123_LM_CA20,-1205.54310751912,-0.125018372390433,17840.8725988932,-44.7413525705974,-19.8132330664994
